,fname_1,fname_2,fname_3,fname_4,fname_5,fname_6,fname_7,fname_8,fname_9,fname_10
someone has struck a match and is lighting pilot light ,fizzy-drink-can.wav,13_Rain_onGrassStone_Gutter_44_16.wav,20081231.fire.02.wav,cigarette_lighter.wav,Voktebef_I&#39;m not sure if I&#39;m here.wav,RC Helicopter Wind Blowing.wav,various slap takes.wav,DVD Cases.wav,soda can_pop.wav,Tortured Apple 02.wav
an item is being scrubbed with a cleaning tool with bristles ,Filing Nail.wav,plants-watering.wav,Dry Erase.wav,erasing 1.wav,sanding wallboard.wav,Scraping of a Carpet with a Brush.wav,md1trk13.wav,vacuuming upholstery.wav,Clockwork_Stegasaurus_Toy.wav,Opening and Closing Curtains - Slow.wav
someone is moving the hangers in the wardrobe ,20150330_11.wooden.floor.night.MS.wav,A000051_6.wav,Elevator Ride and Door Open Merchants Bldg.wav,ouverture-contenair_1.wav,Coming into a hospital in saturday.wav,Rolling Chair.wav,20091226.soft.door.wav,entering1.wav,entering shower moving curtain raffle raffling foley VARIOUS TAKES.wav,night_station.wav
continuous very loud metal bell ringing over and over again ,20060729.lid.wav,KMC_Bell_Ring_01.wav,THAI GONG3.wav,More Bells.wav,metal-bowl-long-decay.wav,templebell.wav,mono_bell_0_D_16sec.wav,GobletPing2LHR.wav,Bell Ring.R.wav,Klangschale weich ff.wav
multiple birds are singing outside a breeze passes leaves ,Spring Birds in Finnish forest.wav,In an English Suburban Garden.wav,20110423_distant.cuckoo.wav,20060607.bird.gone.nuts.wav,Sk310308 chaffinch crow.wav,20070628.casual.ambiance.wav,Misc_bird_calls_ light_distant_traffic.wav,"Insects in the herbs of the plain, thunders in background.wav",Birds_Singing.wav,pineforest winter NL SHORT 130110_00.wav
a car slowly passes by and then more pass by afterwards ,car coming 1.wav,traffic_night_street.wav,car_pass_02_070812.wav,city_traffic_day.wav,traffic at green light.wav,Car Fly by.wav,00208 tractors passing by.wav,Intersection Wet_Metro Pass.wav,Highway Traffic_1-2.wav,tata_hungary__ady_endre_road_20080718.wav
windows screens are working very hard after few minute the car stops and someone goes out of the car ,windscreen wipers light rain.wav,Sea Waves Splash the Beach on the Isle of Wight Coast.wav,balloonburner.wav,City Traffic in the Rain.wav,"Sredniy Nikolopeskovsky lane, evening ambiance.wav",night_station.wav,vacuuming upholstery.wav,Waves near the dock.wav,Ambience_Outdoor_Wind_Birds.wav,vertrek.wav
an evening with beautiful rain in a town ,13_Rain_onGrassStone_Gutter_44_16.wav,Heavy wind and rain.wav,Rain In The City.wav,20100110.rain.marshes.wav,Rain 02 091012.wav,Pork sausage.wav,Rain_Patter_01.wav,"Rain next to open window, dog barks in the distance.wav",leaves_on_the_wind.wav,Fountain at place pigale - Paris - France.wav
motor tries to start and misfires then stops before coming back running constant ,FP_Diesel_Tractor_Start_Run.wav,Espresso.wav,Sewing_machine_OWI.wav,arrancada i aturada de la moto.wav,STEREO INTERFERENCE.wav,TAMPER_0332.wav,11_car_radio.wav,ModernSewingMachine.wav,RC Helicopter Wind Blowing.wav,Closing automatic garage door.wav
a man grunts and exhales quickly as heavy items are being put down and slid around ,redbarn_feeding-horses.wav,PS3F_FOZ_centro_Mufato_carrinhos_tarde.wav,foley noisy chair moving standing up different speed.wav,backpack.wav,entering shower moving curtain raffle raffling foley VARIOUS TAKES.wav,Coming into a hospital in saturday.wav,20150330_11.wooden.floor.night.MS.wav,Rolling Chair.wav,A000051_6.wav,Foley Man Collapsing.wav
someone is working at his home and his system alerting his notifications ,Elevator Arrives.wav,spaceship engine.wav,resonante bass ring-15.J.wav,diesellocomotive.wav,radio_am_01.wav,cape taxi radio.wav,Hour glass sand falling.wav,"HOUSEHOLD-FRIDGE-Whirlpool-brand fridge cooling, opening and closing fridge door_001.wav",Space danger.wav,Hair Clippers 2.wav
a chainsaw is cutting a tree while birds are chirping in the background ,004-Ambient Recording at Saint-Augustin (FR 7pm in October).wav,Outside Sound.wav,"Insects in the herbs of the plain, thunders in background.wav",Chainsaw_4.wav,Chainsaw_1.wav,Birds over Brooklyn.wav,Cicada.1.45.wav,Chainsaw_2.wav,The Commons.wav,Neighbourhood Ambiance.wav
a person treads on a soggy surface while rain falls in the background ,horse in woods 130213_00.wav,3 persons walking slowly on grass noisy ambient 2.wav,20100110.rain.marshes.wav,RainFallsThruTinGutterMcCoy.wav,20060129.scrub.04.wav,preparing fire at the picnic.wav,13_Rain_onGrassStone_Gutter_44_16.wav,Rain_Patter_01.wav,Footsteps on Slushy Cement.wav,rios_barney_geo_fonia_contra_el_viento.wav
water flows quickly over rocks as grass blades rustle ,creekclose.wav,burton_waterfall_02.wav,Stream Running Into Pond.wav,131227_strumyk_2.wav,river_small_close_01.wav,WS RunningWater.wav,Running water 20121021T2335.wav,kenrokuen.wav,Stream Under Rocks.wav,Creek Running water.wav
an engine runs before revving up and driving away while coughing in the background ,Diesel truck and small car.wav,Ferry 03.wav,Engine Reving.wav,traffic at green light.wav,Crossroads with traffic lights #1.wav,stoplight.wav,Passing Tractor.wav,Bus sound.wav,three departures at bus station.wav,traffic-construction-noise.wav
insects making weird noises at night time in bushes ,Night in nature 2.wav,Cicada_00410.wav,August night.wav,Tokyo-cicadas.wav,FR.CTC.08.CoyuyoS.006.wav,grasshopper.wav,Crickets Night 2.wav,greece_naxos_cicadas_6.wav,"Bumblebees in garden, calm wind, crickets in background 1,21min.wav",high park crickets.3.wav
a door opens and screeches and closes four times ,FX_Closing Sqeezing Wooden Door.wav,door_squeaky.wav,closingmyfrondoor.wav,big wooden door open close.wav,Opening and Closing an old Glass Door.wav,Opening and closing a big old door.wav,closing washing machine.wav,Elevator Ride and Door Open Merchants Bldg.wav,creaky-door-11.wav,door walking exit.wav
water drips and flows while a bird chirps and sings quietly ,Waterflow_Ib.wav,Splashing in water.wav,Birds of Noosa Biosphere Reserve.wav,The Commons.wav,LakeWavesOct25th2015.wav,Rain And Birds Chirping Krucifix Productions Sound Effects.wav,gotes lent.wav,Birds and insects in the wetlands of Melissant.wav,Ambience - Freerange Birds - 96kHzsdasd.wav,spider_monkeys.wav
a machine is making really bad noise in a factory ,Apartment Ambiance 2.wav,ambiant hangar sound.wav,Daaaark.wav,Ripples.wav,dare16_eerie.wav,Roof with fans.wav,kitchen refrigerator working.wav,WM_drain_pre_spin_cycle_24_96_mono.wav,"Helicopter interior, no rotor.wav",City Traffic in the Rain.wav
a bee buzzes and drones while bugs and birds chirp in the background ,Yellow Throated Honeyeater.wav,soundscape forest.wav,20060620.ambiance.forest.summer01.wav,AugustNightInCornField.wav,"Bumblebees in garden, calm wind, crickets in background 1,21min.wav","Village Square, Kardamyli, Ciccadas and distant chat.wav",Tokyo-cicadas.wav,Cicada_00410.wav,bumble bee web.wav,August night.wav
someone is closing his coat and after walking the dog in the hood ,redbarn_feeding-horses.wav,backpack.wav,Footsteps on Wood floor 1.wav,FootstepsOnaDock.wav,HeavySkirtMovement.wav,walking 1.wav,horse in woods 130213_00.wav,cat food.wav,the sound of melting snow on the path high in the mountains - front.wav,Schritte_BootsTeppich.wav
an organ is being played softly while a child screams then grows louder ,church organ 2.wav,Asher.wav,stump.wav,Folds.wav,Welte Philharmonic Organ.wav,dare16_eerie.wav,church_bell_song.wav,thebit2.wav,stan_laughing_12292012.wav,popibuuns.wav
wooden objects are struck many times at strange intervals men murmur as it goes on further ,clang_metal_(hit).wav,Setting Class on Table_02-01.wav,object falls on wood.wav,fist bang 2.wav,Achter de Stekke .wav,door knocks.wav,Tortured Apple 02.wav,settingdownglassbottle.wav,various slap takes.wav,150209 Trevor Webb Snooker.wav
a race car starts and speeds off as it leaves spectators cheering ,F-1-race-cars-restart-1stLap-Turn11-DR081.wav,Oxford Cambridge boat race 2010.wav,Amusement Park.wav,Zag.canon.eda.wav,Chrysler LHS tire squeal 04 (04-25-2009).wav,bike race 05.wav,Crossroads with traffic lights #1.wav,Sirena_24.05.11.wav,sirenaWAV.wav,wien_demo.wav
a small bell is struck 3 times with a quickly falling off tone ,More Bells.wav,metal-bowl-long-decay.wav,20060729.lid.wav,Bell 6inch away.wav,THAI GONG3.wav,templebell.wav,KMC_Bell_Ring_01.wav,GobletPing2LHR.wav,mono_bell_0_D_16sec.wav,Bell7.wav
a saw motor runs as the blade spins increasingly faster and then slows to a stop ,kitchen refrigerator working.wav,TAMPER_0332.wav,WASHER machine 2.wav,ATV foley &amp; drive in woods - Reverberant [ST].wav,Chainsaw_4.wav,Chainsaw_2.wav,Motor bikes passing by.wav,Closing automatic garage door.wav,reenactment4.wav,engine boat passing by.wav
a person is riding a skateboard on a hard surface ,abandoned-ballroom-objects-wood-metal.wav,Twist Off Bottle Cap.wav,trolley wheels foley-mg.wav,Skateboard rolling down concrete ramp.wav,DVD Cases.wav,screenplayTheater__footsteps_leatherSoles-onWood.wav,Ball bouncing.wav,foley footsteps walking in room indoors.wav,rios_barney_geo_fonia_contra_el_viento.wav,WaterDrops.wav
a person wearing shoes walks on a hardwood floor then proceeds to walk up some stairs ,Walking on Wood Floor.wav,foley footsteps walking in room indoors.wav,Walking Downstairs.wav,horse in woods 130213_00.wav,FootstepsOnaDock.wav,Footsteps on Wood floor 1.wav,Schritte_BootsTeppich.wav,20150330_11.wooden.floor.night.MS.wav,door walking exit.wav,20150712_underground.parking.wav
rain or wind have in the area and woman are speaking in that time ,Kurla local train station Mumbai (2).wav,rainy morning in town.wav,Quiet Chat.wav,bkkairport01.wav,elvis_radio_announcer_no_static.wav,elvis_radio_announcer.wav,chicago police scanner.wav,Kurla local train station Mumbai (1).wav,rainy alleyway.wav,UoA_NuLibraryGlassLift_1202.wav
a locust is rubbing itself then birds are chirping ,Tokyo-cicadas.wav,Yellow Throated Honeyeater.wav,nia walking.wav,birdies.wav,Cicada_00410.wav,Night in nature 2.wav,August night.wav,Vieques night soundscape 10-10-10.wav,"Insects in the herbs of the plain, thunders in background.wav",20060426.marsh.crikets.bee-eaters.stereo.wav
a bird is chirping and some kind of sound is audible ,tropicbird2.wav,nightbird.wav,birdies.wav,Birds of Noosa Biosphere Reserve.wav,Yellow Throated Honeyeater.wav,birdsambience.wav,Birds and Nature.wav,WALKING IN A CAVE.wav,AMB_CityPark_Day_Seagull_People.wav,Birds_Singing.wav
a train is roaring by on a track making steady rumbling and periodic high pitched sounds ,kamakura_train.wav,train11.wav,HarzTrain.wav,Train Passing Grade Crossing.wav,Train Plan V 090627.wav,"Amtrak Crescent and Commuter Train, Left to Right.wav",Moscow metro journey.wav,TREIN3.wav,"India Train Ride (Train passing by, Voices, Whistle, sounds inside while riding, Train stopping).wav",md9trk2.wav
water running then fades out and comes back before stopping ,Tap Water Open.wav,Sink running-drain.wav,Tap_Water.wav,Peeing into toilet.wav,Sink_on_off.wav,bathroom_water_tap_on_fill_off_drain_24_96_stereo.wav,water_sink.wav,Water_Falling_Bathtub_Drain.wav,bathroomSink1.wav,sink1.wav
a thick plastic sheet is making noise on been shaken ,Pills .wav,pepper grinder.wav,Wheat ears shaken.wav,Smoke.wav,md1trk18.wav,Washing short hair.wav,Plastic bag crumple.wav,AlexandreJourdan_2013_s2.wav,Tissue Paper .wav,fliping paper.wav
loud noise is decreasing after a particular time ,WM_drain_pre_spin_cycle_24_96_mono.wav,Train Mill Hill v1.wav,german motorway or the autobahn.wav,traffic_night_street.wav,Landing Jet 3.wav,car_pass_02_070812.wav,car coming 1.wav,5_Navy-Blue-Angels-jets_CLIP.wav,Intersection Wet_Metro Pass.wav,Boulevard with motorbike.wav
a chime is periodically being hit in multiples of three ,metal-bowl-long-decay.wav,GobletPing2LHR.wav,THAI GONG3.wav,mono_bell_0_D_16sec.wav,More Bells.wav,Bell Ring.R.wav,templebell.wav,Bell 6inch away.wav,20060729.lid.wav,KMC_Bell_Ring_01.wav
a large metal bowl filled with water is being hit repeatedly by an object ,clunks_in_water.wav,Hammering_Empty tank_large_CLOSE.wav,clang_metal_(hit).wav,THAI GONG3.wav,water jugs.wav,contact_mic_on_satellite_dish09.wav,METAL LADLE ON CHINA PLATE.wav,md3trk14.wav,Knife hit on Bread Board.wav,wine_glasses_drying_bottom_up (miroslawski.net).wav
people walk up metal steps as an emergency vehicle siren sounds in the background ,Ambulence - WARNING LOUD.wav,FIRE ENGINE long approach and drive away.wav,police motorcycle distance to stop.wav,STREET_AMBULANCE_01.wav,raindrops on metal_police background.wav,steps in the station.wav,20091217.20.pedestrians.wav,08-Bakken_RacingCars.wav,01451 war scene arrangement 1.wav,Coming into a hospital in saturday.wav
rain drops in the background at a continuous and heavy rate ,Rain 02 091012.wav,TONE pink noise  44.1 16bit.wav,Heavy Rain tin roof.wav,03480 static white noise.wav,Waterfalls_00212.wav,Wind in trees-force8-night.wav,Stream 5 at Krka falls.wav,Wasserfall 2.wav,Rain In The City.wav,creek_tyrol_austria.wav
church bells are ringing and a dog is barking in the distance ,Lisbon&#39;s church.wav,church bell_ljubljana.wav,20090419.san.pedro.bells.wav,Inside Servaas Church 01 100411.wav,Carillon Servaas Church 100411.wav,20101118.omnium.sanctorum.wav,1167church_clock_striking_ten.wav,20060730.bells.wav,Marble Church.wav,stray_dogs.wav
rain starts slowly and increases after some time ,Heavy Rain tin roof.wav,Rain 02 091012.wav,Waterfalls_00212.wav,Wasserfall 2.wav,RainFallsThruTinGutterMcCoy.wav,Wind in trees-force8-night.wav,Kitchen Roomtone w_Dripping Faucet_1-2.wav,TONE pink noise  44.1 16bit.wav,03480 static white noise.wav,german motorway or the autobahn.wav
small dog crying inside a car which is been driven ,harbour scene 2.wav,Sheep bleating.wav,cats on heat.wav,mau2.wav,Rural nightfall atmos.wav,cat_door.wav,stan_laughing_12292012.wav,01451 war scene arrangement 1.wav,Cat Meow and Purr.wav,Asher.wav
a man is speaking with a distorted pitch and water is running ,"Water In Montsegur, France.wav",CFX-20130331-UK-DorsetHarbour05.wav,Scratching Hair.wav,Guitar Center employees self-recording 24 bit.wav,CFX-20130331-UK-DorsetHarbour04.wav,acent.wav,Antonio Casquez - Canvis.wav,Street Interview.wav,fly 1 sands_05.wav,Robot Overlords Monologue.wav
waves crashing hard on the beach water sounds really rough ,CP_Whipping_Wind_Storm_Medium01.wav,Waves on to rocks.wav,Pirita Storm waves06.12.2015.wav,Sea Waves Splash the Beach on the Isle of Wight Coast.wav,Sea&amp;wind.wav,Waves near the dock.wav,Kaituna.wav,waves recording.wav,"Train Passing, Close, Left to Right, B.wav",Storm wind.wav
the blades of a windmill creak as they spin around ,WasherEndWashCycleStartSpinCycle.wav,door sound.wav,014_House_Fan.wav,City Traffic (Outdoor).wav,trolley wheels foley-mg.wav,sheep calling her baby lambs.wav,cowbells1.wav,engine boat passing by.wav,METAL LADLE ON CHINA PLATE.wav,wine_glasses_drying_bottom_up (miroslawski.net).wav
a car engine runs and gets stronger as people talk in the background ,Place Pigalle ambience Paris.wav,130916 General Paz y Panamericana.wav,soft-motor-wobble.wav,London Bus.wav,Traffic Karl-Liebknechtstrasse 111223.wav,Parada de buses UCA_1.wav,2 Subway Nice Place to Live.wav,City Traffic (Outdoor).wav,BangkokMarket.wav,RomaBenzinaioGas_viaPomonte.wav
it is raining steadily and heavily and faint traffic goes by ,Rain 02 091012.wav,Heavy Rain tin roof.wav,Heavy wind and rain.wav,german motorway or the autobahn.wav,Ambience_Outdoor_Wind_Birds.wav,Wasserfall 2.wav,tata_hungary__ady_endre_road_20080718.wav,20130406_nasty.weather.09.wav,"Sredniy Nikolopeskovsky lane, evening ambiance.wav",psikedelic.wav
insects are high-pitched screeching birds are chirping and a truck drives by ,"Insects in the herbs of the plain, thunders in background.wav",Vieques night soundscape 10-10-10.wav,Crickets Night 2.wav,hereg_hungary__car_passing_by_1_20080712.wav,Cicada 1.wav,high park crickets.3.wav,Neighbourhood Ambiance.wav,Japan_Yukinoura_Bamboo_Forest_and_Road_.wav,004-Ambient Recording at Saint-Augustin (FR 7pm in October).wav,AugustNightInCornField.wav
a motor bike goes by in heavy traffic then revs its engine ,motors-moteurs.wav,CarStart Idle Rev.wav,Engine Reving.wav,Boulevard with motorbike.wav,AMB_Ext_Night_Residential_001.wav,WASHER machine 2.wav,ATV foley &amp; drive in woods - Reverberant [ST].wav,Motor bikes passing by.wav,00208 tractors passing by.wav,city_traffic_day.wav
a piece of metal touching some plates and people talking ,toy_tower.wav,160718 HSN spanish fish market.wav,Gun Cleaning.wav,Pounding a metal stake with hammer v2.wav,Standard Bell.wav,3overtones.wav,0129 Big_shop.wav,Metal_Tin_Hit_bang.wav,clang_metal_(hit).wav,CafeAmbience.wav
a train or a very heavy machine is in operation ,kamakura_train.wav,"India Train Ride (Train passing by, Voices, Whistle, sounds inside while riding, Train stopping).wav",TREIN3.wav,backhoes.wav,"Amtrak Crescent and Commuter Train, Left to Right.wav",Train Plan V 090627.wav,110719_glasgowdemolish.wav,vertrek.wav,"Train Passing, A.wav",md9trk2.wav
birds are resting in their nest at the night time ,Vieques night soundscape 10-10-10.wav,Clark&#39;s Nutcrackers 01.wav,2_frogs_qinghua.wav,birdies.wav,Spring Birds in Finnish forest.wav,Sk310308 chaffinch crow.wav,Desert at Night.wav,SmallCarriageClockTicking.wav,20110423_distant.cuckoo.wav,popibuuns.wav
crickets and bird sounds at night with the wind blowing ,"Insects in the herbs of the plain, thunders in background.wav",Crickets Night 2.wav,Night in nature 2.wav,hereg_hungary__car_passing_by_1_20080712.wav,high park crickets.3.wav,August night.wav,Desert at Night.wav,070821_flsp_narrows.wav,hereg_hungary__car_passing_by_2_20080712.wav,Cricket2.wav
torrents of rain are falling and water is dripping ,Rain 02 091012.wav,Heavy Rain tin roof.wav,Heavy wind and rain.wav,Waterfalls_00212.wav,Stream 5 at Krka falls.wav,13_Rain_onGrassStone_Gutter_44_16.wav,20100110.rain.marshes.wav,TONE pink noise  44.1 16bit.wav,Wasserfall 2.wav,"Wind in a tree, close to the foliage.wav"
water is coming out of a spout as a man hums in the background and water then shuts off ,CFX-20130331-UK-DorsetHarbour05.wav,"Water In Montsegur, France.wav",sink1.wav,Tap_Water.wav,indoors ambient room tone.wav,bathroom_water_tap_on_fill_off_drain_24_96_stereo.wav,vand.wav,Sink running-drain.wav,water_sink.wav,bathroomSink1.wav
a helicopter is getting louder and louder before dampening off ,reenactment4.wav,Helicopter Landing.wav,airshow_2.wav,engine boat passing by.wav,hillden.wav,airliner_ascend.wav,WASHER machine 2.wav,"Helicopter interior, no rotor.wav",Landing Jet 3.wav,Synth Wind.wav
it's raining heavily and a heavy truck goes by and a motorcycle revs in the distance ,washing_out_5_gallon_bucket.wav,DH12_141Tram1.wav,WM_drain_pre_spin_cycle_24_96_mono.wav,Rain 02 091012.wav,City Traffic in the Rain.wav,Small tractor.wav,Heavy Rain tin roof.wav,douche01-def01.wav,20130406_nasty.weather.09.wav,cart machine.wav
sewing machine is on while a women is laughing in the background ,VillageLaughter1.wav,lachen.wav,UoA_NuLibraryGlassLift_1202.wav,RomaBenzinaioGas_viaPomonte.wav,soft-motor-wobble.wav,washing_machine_beginning.wav,Morning Ride 7.wav,RC Helicopter Wind Blowing.wav,Stove Full.wav,Sewing_machine_OWI.wav
a crowd of people is talking and then a baby cries ,firenze_kids_churchyard.wav,city park Tel Aviv.wav,Mall Ambient.wav,Twee dozen aardbeien.wav,stenochscentre.wav,Binnenrotte market live 100309.wav,Kids GardenHose 130723_02.wav,platform.wav,GORAZD_0075_Omori_Pachinko.wav,Next To School in Street Ambience.wav
a horse is walking down a street with horse shoes on ,HorseGoingBy.wav,Footsteps on Slushy Cement.wav,20060129.scrub.04.wav,horse in woods 130213_00.wav,rios_barney_geo_fonia_contra_el_viento.wav,FootstepsOnaDock.wav,maastricht town sounds.wav,screenplayTheater__footsteps_leatherSoles-onWood.wav,walking 1.wav,foley footsteps walking in room indoors.wav
some people are talking to each other in a large room ,Busy Dining Room Atmos.wav,Portugese Fish Market.wav,16 coffee shop ambience.wav,Bar atmosphere - Not So Busy.wav,jf Resonant Space.wav,Quiet Chat.wav,In_a_que01.wav,inside an old factory under recustruction.wav,Public Place.wav,people chatting background.wav
wind is blowing in a steady stream and gets stronger ,volcanoeruption.wav,Mouth Wind Howling.wav,synthwind.wav,Ambience of the battle field2.wav,thunder wind 02.wav,Ambiance1.wav,CP_Whipping_Wind_Storm_Medium01.wav,Waves near the dock.wav,20091217.05.street.cleaning.wav,Wasserfall 2.wav
many birds and frogs are making sound loudly ,2_frogs_qinghua.wav,20110423_distant.cuckoo.wav,birdies.wav,Vieques night soundscape 10-10-10.wav,20080321.warbler.n.dogs.wav,20070628.casual.ambiance.wav,AMB_CityPark_Day_Seagull_People.wav,Birds_Singing.wav,Budgies Chirping 2.wav,Sk310308 chaffinch crow.wav
a bird is chirping repetitively it is the same chirp over and over again ,birdies.wav,tropicbird2.wav,nightbird.wav,Birds of Noosa Biosphere Reserve.wav,Birds_Singing.wav,Spring Birds in Finnish forest.wav,Yellow Throated Honeyeater.wav,Budgies Chirping 2.wav,20060426.marsh.crikets.bee-eaters.stereo.wav,chipmunk anger.wav
someone is blowing a hot air balloon and people like it ,volcanoeruption.wav,earthkiller background 1.wav,Sorrento Fireworks.wav,Fake Wind - Blowing into the Mic - 30 sec.wav,glassgnissel1.wav,Synthetic rumble with rising tone.wav,diesellocomotive.wav,Fireworks_Amsterdam_48_24.wav,sortdemo_qb45_insert.wav,water blups.wav
a busy public area with crowd of people walking and talking ,jf Resonant Space.wav,Ambience outside a series of restaurants.wav,BigCrowdBigHall.wav,Public Place.wav,Cafe 1.wav,Bar atmosphere - Not So Busy.wav,times_square.wav,16 coffee shop ambience.wav,city town Havana afternoon balcony.wav,melo_juan_baja_fidelidad_estudiantes_insectos_lluvia.wav
train approaching and passing by metal scraping on metal ,kamakura_train.wav,tram turn.wav,train_coming_in.wav,"Amtrak Crescent and Commuter Train, Left to Right.wav","Iron gate, street.wav",TREIN3.wav,tram_night_crossroad_stop_go_02.wav,backhoes.wav,"India Train Ride (Train passing by, Voices, Whistle, sounds inside while riding, Train stopping).wav",md9trk2.wav
a vacuum cleaner is continuously running while solid objects pieces get sucked into it hitting its surface ,vacuuming upholstery.wav,Dry Erase.wav,Wheat ears shaken.wav,newport-hotel-blow-drier.wav,electric screwdriver_ST.wav,Clockwork_Stegasaurus_Toy.wav,departing_train.wav,lift_relais.wav,Scraping of a Carpet with a Brush.wav,ambiant hangar sound.wav
a fast plane flies by at low altitude ,airshow_2.wav,airliner_ascend.wav,Underground Parking Ambience.wav,spaced.wav,Landing Jet 3.wav,reenactment4.wav,2009-07-23_1554_Serralves Park Airplane flying by.wav,hillden.wav,scooter_pass-by4.wav,Tornado Left To  Right.wav
